signal_id,roulette_id,lookback_window,trigger,bets_len,overlap_unique,overlap_hits,overlap_ratio,overlap_group_unique,confidence_score,confidence_bucket,status_observed,baseline_outcome,baseline_hit_attempt
06b33826-1d07-4320-8f86-a868a44e17e0,pragmatic-german-roulette,1,6,14,1,1,0.071429,1,68,60-69,win,win,3
071ac089-0cc0-4674-abcb-ff2313e1717b,pragmatic-mega-roulette-brazilian,1,31,14,1,1,0.071429,1,62,60-69,lost,loss,
07256e32-aa82-4f2e-88c6-3ab942c392e3,pragmatic-speed-auto-roulette,1,7,14,1,1,0.071429,1,63,60-69,cancelled,win,1
077c06e1-1333-467e-9142-75af420cff5a,pragmatic-roulette-1,1,17,14,0,0,0.0,0,72,70+,win,win,3
079e11cd-3371-40eb-bd73-c4745566d7f8,pragmatic-vip-auto-roulette,1,4,14,0,0,0.0,0,74,70+,win,win,4
081c5f84-e4f9-4397-a56b-7b87144fa388,pragmatic-auto-mega-roulette,1,26,14,0,0,0.0,0,60,60-69,lost,loss,
083ad169-0650-40c2-af48-585d1feb4d8d,pragmatic-speed-roulette-2,1,15,14,1,1,0.071429,1,62,60-69,lost,loss,
0846fb25-ab7a-45f2-bb66-e9bcee2f41ea,pragmatic-russian-roulette,1,8,14,1,1,0.071429,1,84,70+,win,win,2
084fd291-8659-4735-8a89-d3e1b7e9c04f,pragmatic-korean-roulette,1,15,14,1,1,0.071429,1,61,60-69,win,win,2
087602cb-a851-4a57-9528-f4d73e5fa3cb,pragmatic-russian-roulette,1,31,14,0,0,0.0,0,56,<= 59,win,win,2
08865902-677f-4c8c-88c4-bca677135ad6,pragmatic-roulette-italia-tricolore,1,15,14,0,0,0.0,0,62,60-69,win,win,2
0894032b-8cb8-49d1-93d1-f6140547f115,pragmatic-brazilian-roulette,1,10,14,0,0,0.0,0,54,<= 59,win,win,2
08ce97ac-ee0f-4e00-bb6d-7984c5983488,pragmatic-romanian-roulette,1,31,14,0,0,0.0,0,74,70+,win,win,4
08f67ba7-0b8b-4af0-b2c0-85c214e33739,pragmatic-korean-roulette,1,12,14,1,1,0.071429,1,76,70+,cancelled,win,1
090f79cd-9588-4cac-b6d1-1a1aa69b4548,pragmatic-roulette-italia-tricolore,1,1,14,0,0,0.0,0,60,60-69,win,win,4
09a68839-3861-4f71-b4e2-edbb009365a0,pragmatic-speed-roulette-1,1,28,14,1,1,0.071429,1,62,60-69,cancelled,win,1
09a78207-eaf7-4a23-90cb-8529bcd28d1d,pragmatic-turkish-mega-roulette,1,14,14,1,1,0.071429,1,88,70+,cancelled,win,1
09f0bab3-e356-4d10-8ed9-75ed53e62195,pragmatic-roulette-macao,1,10,14,0,0,0.0,0,70,70+,win,win,2
09f8ed85-a1e3-48c4-a89e-ccd861317dc4,pragmatic-vip-auto-roulette,1,3,14,0,0,0.0,0,68,60-69,win,win,1
0a15a8c0-a7f3-4359-bf2d-ce0d7e32341a,pragmatic-roulette-2,1,18,14,0,0,0.0,0,68,60-69,lost,loss,
0a7c9054-7bfb-4f53-862e-3fb4ed296894,pragmatic-roulette-italia-tricolore,1,20,14,1,1,0.071429,1,74,70+,lost,loss,
0ad35d7e-4d4a-4bc4-ad92-6611b0e8d20b,pragmatic-mega-roulette-brazilian,1,5,14,1,1,0.071429,1,69,60-69,lost,loss,
0ae26543-fb7c-4c9f-908b-e2e500e27152,pragmatic-speed-roulette-2,1,21,14,1,1,0.071429,1,64,60-69,win,win,4
0afb0667-d1f5-4935-8825-90e8a9941be9,pragmatic-roulette-1,1,19,14,0,0,0.0,0,71,70+,win,win,3
0b43bb93-e7a1-46e4-b422-8d524c6646ef,pragmatic-vip-roulette,1,27,14,1,1,0.071429,1,67,60-69,win,win,4
0b5bb27c-5068-4022-9508-7187a6baaf5d,pragmatic-mega-roulette,1,21,14,1,1,0.071429,1,74,70+,win,win,3
0b64c78f-8d8d-45cd-92f1-b8fbd8d5ce43,pragmatic-korean-roulette,1,22,14,1,1,0.071429,1,62,60-69,win,win,2
0ba9f903-fa69-423d-b047-e2582459abce,pragmatic-russian-roulette,1,8,14,0,0,0.0,0,83,70+,win,win,1
0c1435ac-11db-4772-93fa-1d77a0f20906,pragmatic-speed-roulette-1,1,18,14,0,0,0.0,0,73,70+,lost,loss,
0c336f44-cc48-42c5-bc0c-0239a0c0f1ff,pragmatic-russian-roulette,1,11,14,0,0,0.0,0,86,70+,win,win,2
0c771b2e-2e07-459b-837d-5fdab21fb9f7,pragmatic-romanian-roulette,1,21,14,1,1,0.071429,1,76,70+,cancelled,win,1
0c8a4264-760d-441b-8337-949693dc6c33,pragmatic-vip-auto-roulette,1,33,14,0,0,0.0,0,80,70+,win,win,2
0c9fadbf-ae2b-4fa0-9a3e-cdf74248565f,pragmatic-roulette-italia-tricolore,1,9,14,1,1,0.071429,1,68,60-69,cancelled,win,1
0cf3b98d-24ed-4973-b639-946ffb58eb1e,pragmatic-turkish-roulette,1,14,14,1,1,0.071429,1,83,70+,win,win,3
0d1dd745-8de0-49c9-80d2-310c27f89fd2,pragmatic-speed-roulette-2,1,18,14,0,0,0.0,0,74,70+,win,win,2
0d2f5d45-dd44-4289-ab7e-d4581345c084,pragmatic-mega-roulette,1,8,14,1,1,0.071429,1,90,70+,win,win,2
0d600d3e-3c1e-4278-9362-e12c3a6f91ca,pragmatic-speed-roulette-2,1,34,14,1,1,0.071429,1,76,70+,cancelled,win,1
0db3bba4-4a3f-4047-80bf-da6812b829bb,pragmatic-german-roulette,1,31,14,1,1,0.071429,1,68,60-69,win,win,2
0dd7c18f-b40a-40ff-9cc2-9b8793e1ae6b,pragmatic-roulette-italian,1,12,14,1,1,0.071429,1,76,70+,win,win,4
0e10efb0-1f38-4c98-9585-c13455353ef3,pragmatic-immersive-roulette-deluxe,1,3,14,1,1,0.071429,1,66,60-69,cancelled,win,1
0e17b9ac-91d1-44da-bfcb-91c8420d216c,pragmatic-roulette-macao,1,5,14,1,1,0.071429,1,76,70+,lost,loss,
0e3ebecc-2c04-4c81-8213-5230837cc5d8,pragmatic-speed-roulette-1,1,1,14,0,0,0.0,0,58,<= 59,win,win,2
0e43d027-e3cc-4e15-95a4-0e85c0e8695e,pragmatic-turkish-mega-roulette,1,9,14,0,0,0.0,0,88,70+,win,win,1
0ea77717-639e-4484-bac5-352f11ed3983,pragmatic-german-roulette,1,3,14,0,0,0.0,0,58,<= 59,win,win,1
0f379277-9739-4f50-9723-13d90b90ae06,pragmatic-speed-roulette-1,1,9,14,0,0,0.0,0,72,70+,win,win,2
0fb2c3ad-f23e-472c-a665-1683853c9e06,pragmatic-korean-roulette,1,31,14,0,0,0.0,0,68,60-69,win,win,1
1008659f-7ba7-4a37-8bb3-757ba496cdc3,pragmatic-roulette-2,1,12,14,0,0,0.0,0,76,70+,win,win,2
1013f432-2c99-41f5-aada-963ebbb9654d,pragmatic-turkish-roulette,1,2,14,0,0,0.0,0,86,70+,win,win,2
101a2d62-da3c-437f-9079-c25e1bb8f625,pragmatic-turkish-mega-roulette,1,21,14,0,0,0.0,0,60,60-69,win,win,1
102e1ea4-b5b8-42d3-b68f-338a92841086,pragmatic-roulete-3,1,6,14,0,0,0.0,0,63,60-69,win,win,1
1048d069-3703-40d5-9811-1744949e370b,pragmatic-speed-auto-roulette,1,4,14,0,0,0.0,0,66,60-69,win,win,1
1060b466-03a9-4cbe-9d50-0b8011a243f4,pragmatic-romanian-roulette,1,23,14,0,0,0.0,0,73,70+,win,win,2
109f315b-1736-4766-ba9c-deaf7c48ad66,pragmatic-roulette-2,1,24,14,0,0,0.0,0,70,70+,win,win,1
10bd4486-f9e1-4930-9ea0-9210783ea46c,pragmatic-korean-roulette,1,24,14,1,1,0.071429,1,76,70+,cancelled,win,1
10d6ba19-2383-4004-b248-4ccd9b45a26e,pragmatic-korean-roulette,1,19,14,1,1,0.071429,1,60,60-69,cancelled,win,1
